id,name,calories,Weight,image_url,ingredients,gear,steps,tags,pair_ids,Memo
38,カップヌードルカレー,422,,db/seed_images/recipes/38.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,"17,18",
39,カップヌードルカレーBIG,588,,db/seed_images/recipes/39.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",プラスチーズトッピングで600kcalゲット！,,"17,18",
40,カップヌードルシーフードミニ,167,,db/seed_images/recipes/40.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
41,カレーメシ,462,,db/seed_images/recipes/41.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,"17,18",
42,ハヤシメシ,432,,db/seed_images/recipes/42.png,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,"17,18",
43,味噌ラーメン（袋麺）,448,,db/seed_images/recipes/43.png,水（またはお湯）,"バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,"17,18",
44,塩ラーメン（袋麺）,455,,db/seed_images/recipes/44.png,水（またはお湯）,"バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,,
45,チキンラーメン（袋麺）,377,,db/seed_images/recipes/45.png,"水（またはお湯） お好みで卵","バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,"17,19",
46,豚の角煮ラーメン,805,,db/seed_images/recipes/46.png,"袋ラーメン醤油 レトルトの角煮 刻み青ネギ 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・豚の角煮と水を入れて、その上に麺を置いて（割っても○）火にかける。 ２・スープを入れて、ネギを散らせば出来上がり！",,,"豚の角煮（345 ねぎ（12"
47,海鮮塩ラーメン,623,,db/seed_images/recipes/47.png,"袋ラーメン塩 カニカマ チーズちくわ おしゃぶり梅昆布 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・水（お湯）と昆布とカニカマを入れて火にかける。 ２・沸騰したら、麺入れて（割っても○）茹でる。 ３・ちくわは、茹で上がる２分前に入れて、スープを入れて出来上がり！",,,"カニカマ（88 チーズちくわ(60 昆布（30"
48,味噌トマトラーメン,818,,db/seed_images/recipes/48.png,"袋ラーメン味噌 ソーセージ5本 冷凍ブロッコリー トマトペースト 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・水（分量＋50~100ml程度）を沸騰させ、ソーセージ、ブロッコリー、トマトペーストを入れる。 ２・麺を入れて、茹でる。 ３・茹で上がったらスープを入れて、少し煮込んで完成！",,,"トマトペースト（20 ブロッコリー100g（30 ソーセージ３本(191"
49,焼き鳥缶で炊き込みごはん！,659,,db/seed_images/recipes/49.png,"無洗米１合 焼き鳥缶（タレ） めんつゆ25cc 刻み葱 水200~220ml ","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・お米を水に浸して浸水３０分〜 ※家でお米を洗って、100均のボトルなどに水と一緒に入れて登山中に浸水してもOK。 その時は分量通りの水を測ると○ ２・お米と水と具材を全部入れて、15〜20分火にかける。沸騰したらとろ火。※吹きこぼれ注意。 ３・火から下ろして、タオルで包む。蓋を下にして10分蒸らす。 　　さっくり混ぜて出来上がり！  ２・のタイミングで人参やしめじを入れても○ マヨネーズや七味をプラスするとさらにうまい！",,,"ご飯515 焼き鳥缶144 "
50,焼き鮭で炊き込みごはん！,708,,db/seed_images/recipes/50.png,"無洗米１合 焼き鮭（コンビニ） 醤油・酒・味醂　大１ 和風だし少々 きんぴらごぼう 水200~220ml","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・お米を水に浸して浸水３０分〜 ※家でお米を洗って、100均のボトルなどに水と一緒に入れて登山中に浸水してもOK。 その時は分量通りの水を測ると○ ２・お米と水と具材を全部入れて、15〜20分火にかける。沸騰したらとろ火。※吹きこぼれ注意。 ３・火から下ろして、タオルで包む。蓋を下にして10分蒸らす。 　　さっくり混ぜて出来上がり！  調味料は、混ぜて容器に入れて持っていくと○ きんぴらごぼうも一緒に",,,"ご飯515 焼き鮭94 きんぴら99"
51,鶏団子の寄せ鍋,570,,db/seed_images/recipes/51.png,"プチッと鍋（寄せ鍋） カット野菜１袋 鶏団子 豆腐 油揚げ１枚","バーナー（ストーブ＋ガス） クッカー カトラリー","１・クッカーに水とプチッと鍋を入れる。 ２・具材を入れて、火にかけて火が通ったら出来上がり！  油揚げはハイカロリー！ シメにうどんを入れても○",,,"プチッと鍋12 鶏団子（258 野菜（20 豆腐（56 油揚げ224"
52,キムチ鍋,462,,db/seed_images/recipes/52.png,"プチッと鍋（キムチ鍋） カット野菜１袋 豆腐 豚バラ100g","バーナー（ストーブ＋ガス） クッカー カトラリー","１・クッカーに水とプチッと鍋を入れる。 ２・具材を入れて、火にかけて火が通ったら出来上がり！  冬におすすめ！はお肉が腐らないように注意！冷凍して持っていこう！ お肉をウインナーなどにアレンジしても○",,,"プチッと鍋（20 豚バラ（366 野菜（20 豆腐（56"
53,白菜と豚バラのミルフィーユ,587,,db/seed_images/recipes/53.png,"豚バラ150g 白菜 鶏ガラスープの素5g 酒100ml 生姜チューブ 七味","バーナー（ストーブ＋ガス） クッカー カトラリー","１・メスティンに白菜と豚バラを交互に敷き詰める。 ２・鶏ガラスープの素と酒を入れる。 ３・火にかけてメスティンから湯気が出てきたら、蓋を開けて確認。豚肉に火が通っていたら出来上がり！  ＊冬におすすめ！夏はお肉が腐らないように注意！冷凍して持っていこう！",,,"豚バラ（549 白菜（26 鶏ガラ12"
54,もちザニア！じゃがりこdeラザニア,1012,,db/seed_images/recipes/54.png,"じゃがりこ１箱 スライス餅　150g ミートソース　120ml 牛乳　75ml スライスチーズ７枚 ","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・メスティンにじゃがりこを１箱全部敷き詰める。 ２・牛乳をヒタヒタになるくらいまで入れる。 ３・ミートソース→スライス餅→スライスチーズを２〜３回繰り返す。 ５・蓋をして弱火で10分程度火にかけて、出来上がり！※焦げやすいので、弱火で！",,,"じゃがりこ（285 牛乳（43 ミートソース86 スライス餅227 チーズ（371"
58,もちぜんざい,432,,db/seed_images/recipes/55.png,"スライス餅　150g お汁粉（レトルト）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・ぜんざいとスライス餅をクッカーに入れて、弱火にかける。 ２・お餅がやわらかくなったら出来上がり！  食後のデザートにも○",,,"スライス餅227 ぜんざい205"
,蒸しパン,,,db/seed_images/recipes/56.png,"ホットケーキミックス100g 砂糖　25g 牛乳　80ml たまご　１個","バーナー（ストーブ＋ガス） メスティン 網（100均に売ってます） アルミカップ カトラリー","（下準備）材料を混ぜて、ジップロックに入れて行っても○ １・メスティンにアルミカップに",,,
55,グリーンカレーうどん,514,,db/seed_images/recipes/57.png,"流水麺（うどん） チキンとタイカレー（グリーン）缶 無調整豆乳100ml めんつゆ大１ サラダチキンバー（バジル&オリーブ） ","お皿 シュラカップ（コップでも○） カトラリー","１・流水麺に少量の水をかけてほぐす。（袋の中でほぐしてもOK） ２・グリーンカレーをシュラカップに移し、豆乳、めんつゆを入れて混ぜる。 ３・サラダチキンを食べやすい大きさにカット。 ４・うどんをカレーにつけて食べる！（カレーをかけても○）  辛いのが苦手な人は豆乳を多めに入れても○",,,"うどん240 カレー167 豆乳43 めんつゆ5 チキン59"
56,かんたん！冷やしそうめん,267,,db/seed_images/recipes/58.png,"流水麺（そうめん） めんつゆ お好みの具材（梅干し・トマト・オクラ・大葉） めんつゆ 水","お皿 カトラリー","１・流水麺に少量の水をかけてほぐす。（袋の中でほぐしてもOK） ２・具材をトッピング（お好みで） ３・めんつゆをかけ、味の濃さを調整したら完成！  具材を凍らせて持っていくと冷たくておいしい！",,,"そうめん204 梅ごし6 トマト中40 オクラ12 めんつゆ5 "
57,ぶっかけそば,647,,db/seed_images/recipes/59.png,"流水麺（そば） 揚げ玉 温泉卵 大根おろしチューブ めんつゆ 水","お皿 カトラリー","（下準備）具材は食べやすい大きさにカット。 １・流水面に少量の水をかけてほぐして、お皿に盛る。 ２・メンツ強加え、味の濃さを調整。 ３・大根おろし、揚げ玉をトッピングしたら、最後に温泉卵を中央に割り入れて完成！",,,"そば228 揚げ玉345 温泉卵62 大根おろし7 めんつゆ5"
,餃子の皮ピザ,443,,db/seed_images/recipes/60.png,"餃子の皮５〜７枚 ウインナー２本 ピーマン１個 とろけるチーズ3~4枚 ピザソース40g","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー （クックパー）","１・ウインナー・ピーマンは食べやすい大きさに切っておく。 ２・フライパンに、餃子の皮を敷く。（くっつきやすい場合は、クックパーを敷こう） ３・ピザソースを前面に塗り、具材を乗せる。一番上にチーズを乗せたら蓋をする。 ４・中火で５分ほど焼き、チーズが溶けたら完成！",,,"餃子の皮14×枚数 ウインナー128 ピーマン20 チーズ172 ピザソース25"
59,もちピザ,350,,db/seed_images/recipes/61.png,"スライス餅 とろけるチーズ２枚 さきいか マヨネーズ かつお節 乾燥ネギ ","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー","１・とろけるチーズを半分に割き、フライパンに敷く。 ２・その上にスライス餅を並べる。 ３・マヨネーズを薄く塗り、さきいか、かつお節をちらし、中火にかける。 ４・チーズのジューっという音が無くなったら、ネギをふりかけて完成！",,,"スライス餅227 チーズ32 さきいか46 マヨ34 かつおぶし11 ねぎ"
60,豚まん（肉まん）,210,,db/seed_images/recipes/62.png,"肉まん（豚まん） 水","バーナー（ストーブ＋ガス） メスティン 網（アルミホイルで代用○）","１・メスティンに網を敷き、水を５mmくらい入れる。（網の足の半分くらい） ２・肉まんを網の上におく。 ３・蓋をして、火にかかる。沸騰してから（湯気が出てから）10分くらい蒸したら出来上がり！  ※敷き紙はとってしまうと網に肉まんがくっついちゃう！無ければクッキングシートを敷こう！",,,
61,つぶあんまん,189,,db/seed_images/recipes/63.png,"つぶあんまん 水","バーナー（ストーブ＋ガス） メスティン 網（アルミホイルで代用○）","１・メスティンに網を敷き、水を５mmくらい入れる。（網の足の半分くらい） ２・あんまんを網の上におく。 ３・蓋をして、火にかかる。沸騰してから（湯気が出てから）10分くらい蒸したら出来上がり！  ※敷き紙はとってしまうと網に肉まんがくっついちゃう！無ければクッキングシートを敷こう！",,,
62,肉焼売,252,,db/seed_images/recipes/64.png,"肉焼売 からし 水","バーナー（ストーブ＋ガス） メスティン 網（100均に売ってます） クッキングシート","１・メスティンに網を敷き、水を５mmくらい入れる。（網の足の半分くらい） ２・クッキングシートを敷き、その上に肉焼売を並べる。 ３・蓋をして、火にかかる。沸騰してから（湯気が出てから）10分くらい蒸したら出来上がり！",,,
63,パスタ入りミネストローネ,265,,db/seed_images/recipes/65.png,"カゴメトマトジュース200ml１本 ベーコン30g 玉ねぎ1/4 パプリカ（赤・黄）各1/4 にんにくチップス3 マカロニ（はや茹でタイプ）20g コンソメ１個 オリーブオイル少々 乾燥パセリ（お好みで）","バーナー（ストーブ＋ガス） クッカー カトラリー","（下準備）ベーコン・野菜類は切ってジップロックに入れておく。 １・オリーブオイルをひいて、具材を炒める。 ２・玉ねぎが半透明になったら、トマトジュースとコンソメを加え、沸騰させる。 ３・沸騰したらマカロニを投入。表記通りの時間煮込む。 ４・お好みでパセリや粉チーズをふって完成！",,,"トマトジュース39 ベーコン122 玉ねぎ16 パプリカ10 マカロニ76 コンソメ12"
64,サラダチキンの豆乳クリームパスタ,324,,db/seed_images/recipes/66.png,"サラダチキン 豆乳 乾燥パスタ（ペンネ）70g マッシュルーム 塩・コショウ 乾燥パセリ（お好みで）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・サラダチキンをほぐして、豆乳と一緒にクッカーへ入れる。塩コショウで味付け。 ２・沸騰しない火加減で煮込む。 ３・ペンネ・マッシュルームを入れ、よく混ぜる。 ３・表記通りの時間だけ煮込む。 ４・茹で上がったら、塩コショウで味を整えて、お好みでパセリをふって完成！",,,"サラダチキン108 豆乳95 ペンネ110 マッシュルーム11 "
65,チーズ煮込みハンバーグ,575,,db/seed_images/recipes/67.png,"セブン金のハンバーグ トマトジュース さけるチーズ 塩・コショウ ミックスベジタブル60g ブロッコリー","バーナー（ストーブ＋ガス） クッカー カトラリー","１・さけるチーズは輪切りにカット。 ２・ハンバーグをクッカーに入れ、トマトジュースで煮込む。 ３・ハンバーグが温まったら、ミックスベジタブル、ブロッコリー、チーズを入れる。 ４・蓋をして火を止める。余熱でチーズが溶けたら完成！",,,"ハンバーグ（388 トマトジュース38 避けるチーズ80 ミックスベジ54 ブロッコリー15 "
66,ガッツギア（アミノバイタル）,200,,db/seed_images/recipes/68.png,,,,,,
67,えいようかん,171,,db/seed_images/recipes/69.png,,,,,,
68,大粒ラムネ１袋,153,,db/seed_images/recipes/70.png,,,,,,
69,柿の種180g６袋,453,,db/seed_images/recipes/71.png,,,,,,
70,SOYJOY,146,,db/seed_images/recipes/72.png,,,,,,
71,カントリーマアム１枚,48,,db/seed_images/recipes/73.png,,,,,,
72,SNICKERS,248,,db/seed_images/recipes/74.png,,,,,,
73,カロリーメイト（チーズ）２本,200,,db/seed_images/recipes/75.png,,,1本100kcalでできてるからカロリー計算もかんたん！,,,
74,ブラックサンダー１本,111,,db/seed_images/recipes/76.png,,,ミニは59kcalなんだって〜,,,
75,,,,,ingredients,gear,steps,,,
76,,,,,,,"最寄りのコンビニでGET ※最後のコンビニを逃すな！",,,
77,,,,,,,"最寄りのコンビニでGET ※最後のコンビニを逃すな！",,,
78,,,,,,,"最寄りのコンビニでGET ※但し、早朝深夜はおいてないぞ！ 登山開始前に消費しよう。持ち運びには向いてないぞ",,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,麦茶をかけてお茶漬け風もあり⭐︎,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,タンパク質補給に！,,,
95,,,,,,,低カロリーすぎる！,,,
96,,,,,,,湿気には弱いぞ！,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,夏は溶けたら大惨事だ！熱い日はやめておこう！,,,
100,,,,,,,,,,
101,,,,,,,カバンの中で粉々にならないよう気をつけよう,,,
102,,,,,"クーリッシュ（バニラ） お好みのパン バター ","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー",,,,
103,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
104,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
105,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
106,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
107,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
108,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
109,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
110,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
111,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
112,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
113,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
114,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",プラスチーズトッピングで600kcalゲット！,,,
115,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
116,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
117,,,,,お湯（その場で沸かさず持参しても○）,"バーナー（ストーブ＋ガス） コップ（直火可） カトラリー",,,,
118,,,,,水（またはお湯）,"バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,,
119,,,,,水（またはお湯）,"バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,,
120,,,,,"水（またはお湯） お好みで卵","バーナー（ストーブ＋ガス） クッカー カトラリー",記載の手順通りに※水多めにすると飲みきれないぞ,,,
121,,,,,"袋ラーメン醤油 レトルトの角煮 刻み青ネギ 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・豚の角煮と水を入れて、その上に麺を置いて（割っても○）火にかける。 ２・スープを入れて、ネギを散らせば出来上がり！",,,
122,,,,,"袋ラーメン塩 カニカマ チーズちくわ おしゃぶり梅昆布 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・水（お湯）と昆布とカニカマを入れて火にかける。 ２・沸騰したら、麺入れて（割っても○）茹でる。 ３・ちくわは、茹で上がる２分前に入れて、スープを入れて出来上がり！",,,
123,,,,,"袋ラーメン味噌 ソーセージ5本 冷凍ブロッコリー トマトペースト 水（お湯）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・水（分量＋50~100ml程度）を沸騰させ、ソーセージ、ブロッコリー、トマトペーストを入れる。 ２・麺を入れて、茹でる。 ３・茹で上がったらスープを入れて、少し煮込んで完成！",,,
124,,,,,"無洗米１合 焼き鳥缶（タレ） めんつゆ25cc 刻み葱 水200~220ml ","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・お米を水に浸して浸水３０分〜 ※家でお米を洗って、100均のボトルなどに水と一緒に入れて登山中に浸水してもOK。 その時は分量通りの水を測ると○ ２・お米と水と具材を全部入れて、15〜20分火にかける。沸騰したらとろ火。※吹きこぼれ注意。 ３・火から下ろして、タオルで包む。蓋を下にして10分蒸らす。 　　さっくり混ぜて出来上がり！  ２・のタイミングで人参やしめじを入れても○ マヨネーズや七味をプラスするとさらにうまい！",,,
125,,,,,"無洗米１合 焼き鮭（コンビニ） 醤油・酒・味醂　大１ 和風だし少々 きんぴらごぼう 水200~220ml","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・お米を水に浸して浸水３０分〜 ※家でお米を洗って、100均のボトルなどに水と一緒に入れて登山中に浸水してもOK。 その時は分量通りの水を測ると○ ２・お米と水と具材を全部入れて、15〜20分火にかける。沸騰したらとろ火。※吹きこぼれ注意。 ３・火から下ろして、タオルで包む。蓋を下にして10分蒸らす。 　　さっくり混ぜて出来上がり！  調味料は、混ぜて容器に入れて持っていくと○ きんぴらごぼうも一緒に",,,
126,,,,,"プチッと鍋（寄せ鍋） カット野菜１袋 鶏団子 豆腐 油揚げ１枚","バーナー（ストーブ＋ガス） クッカー カトラリー","１・クッカーに水とプチッと鍋を入れる。 ２・具材を入れて、火にかけて火が通ったら出来上がり！  油揚げはハイカロリー！ シメにうどんを入れても○",,,
127,,,,,"プチッと鍋（キムチ鍋） カット野菜１袋 豆腐 豚バラ100g","バーナー（ストーブ＋ガス） クッカー カトラリー","１・クッカーに水とプチッと鍋を入れる。 ２・具材を入れて、火にかけて火が通ったら出来上がり！  冬におすすめ！はお肉が腐らないように注意！冷凍して持っていこう！ お肉をウインナーなどにアレンジしても○",,,
128,,,,,"豚バラ150g 白菜 鶏ガラスープの素5g 酒100ml 生姜チューブ 七味","バーナー（ストーブ＋ガス） クッカー カトラリー","１・メスティンに白菜と豚バラを交互に敷き詰める。 ２・鶏ガラスープの素と酒を入れる。 ３・火にかけてメスティンから湯気が出てきたら、蓋を開けて確認。豚肉に火が通っていたら出来上がり！  ＊冬におすすめ！夏はお肉が腐らないように注意！冷凍して持っていこう！",,,
129,,,,,"じゃがりこ１箱 スライス餅　150g ミートソース　120ml 牛乳　75ml スライスチーズ７枚 ","バーナー（ストーブ＋ガス） メスティン カトラリー ","１・メスティンにじゃがりこを１箱全部敷き詰める。 ２・牛乳をヒタヒタになるくらいまで入れる。 ３・ミートソース→スライス餅→スライスチーズを２〜３回繰り返す。 ５・蓋をして弱火で10分程度火にかけて、出来上がり！※焦げやすいので、弱火で！",,,
130,,,,,"スライス餅　150g お汁粉（レトルト）","バーナー（ストーブ＋ガス） クッカー カトラリー","１・ぜんざいとスライス餅をクッカーに入れて、弱火にかける。 ２・お餅がやわらかくなったら出来上がり！  食後のデザートにも○",,,
131,,,,,"ホットケーキミックス100g 砂糖　25g 牛乳　80ml たまご　１個","バーナー（ストーブ＋ガス） メスティン 網（100均に売ってます） アルミカップ カトラリー","（下準備）材料を混ぜて、ジップロックに入れて行っても○ １・メスティンにアルミカップに",,,
132,,,,,"流水麺（うどん） チキンとタイカレー（グリーン）缶 無調整豆乳100ml めんつゆ大１ サラダチキンバー（バジル&オリーブ） ","お皿 シュラカップ（コップでも○） カトラリー","１・流水麺に少量の水をかけてほぐす。（袋の中でほぐしてもOK） ２・グリーンカレーをシュラカップに移し、豆乳、めんつゆを入れて混ぜる。 ３・サラダチキンを食べやすい大きさにカット。 ４・うどんをカレーにつけて食べる！（カレーをかけても○）  辛いのが苦手な人は豆乳を多めに入れても○",,,
133,,,,,"流水麺（そうめん） めんつゆ お好みの具材（梅干し・トマト・オクラ・大葉） めんつゆ 水","お皿 カトラリー","１・流水麺に少量の水をかけてほぐす。（袋の中でほぐしてもOK） ２・具材をトッピング（お好みで） ３・めんつゆをかけ、味の濃さを調整したら完成！  具材を凍らせて持っていくと冷たくておいしい！",,,
134,,,,,"流水麺（そば） 揚げ玉 温泉卵 大根おろしチューブ めんつゆ 水","お皿 カトラリー","（下準備）具材は食べやすい大きさにカット。 １・流水面に少量の水をかけてほぐして、お皿に盛る。 ２・メンツ強加え、味の濃さを調整。 ３・大根おろし、揚げ玉をトッピングしたら、最後に温泉卵を中央に割り入れて完成！",,,
135,,,,,"餃子の皮５〜７枚 ウインナー２本 ピーマン１個 とろけるチーズ3~4枚 ピザソース40g","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー （クックパー）","１・ウインナー・ピーマンは食べやすい大きさに切っておく。 ２・フライパンに、餃子の皮を敷く。（くっつきやすい場合は、クックパーを敷こう） ３・ピザソースを前面に塗り、具材を乗せる。一番上にチーズを乗せたら蓋をする。 ４・中火で５分ほど焼き、チーズが溶けたら完成！",,,
136,,,,,"スライス餅 とろけるチーズ２枚 さきいか マヨネーズ かつお節 乾燥ネギ ","バーナー（ストーブ＋ガス） フライパン（クッカー） カトラリー","１・とろけるチーズを半分に割き、フライパンに敷く。 ２・その上にスライス餅を並べる。 ３・マヨネーズを薄く塗り、さきいか、かつお節をちらし、中火にかける。 ４・チーズのジューっという音が無くなったら、ネギをふりかけて完成！",,,
